Index1,Corr_Value1,Index2,Corr_Value2
125,0.7228031145717464,125.0,0.47363737486095664
126,0.746384872080089,126.0,0.4825361512791991
127,0.7183537263626251,127.0,0.760622914349277
128,0.7041156840934372,128.0,0.521245828698554
129,0.8731924360400445,129.0,0.7050055617352614
130,0.6654060066740823,130.0,0.7877641824249165
131,0.6369299221357063,131.0,0.7690767519466074
132,0.8300333704115684,132.0,0.8162402669632925
133,0.8295884315906562,133.0,0.8264738598442714
134,0.8447163515016683,134.0,0.771301446051168
135,0.7219132369299222,135.0,0.6240266963292548
136,0.6520578420467186,136.0,0.5074527252502781
137,0.8491657397107898,137.0,0.8513904338153503
138,0.7125695216907675,138.0,0.5350389321468298
139,0.7512791991101224,139.0,0.6680756395995551
140,0.874972191323693,140.0,0.5342084803331368
141,0.8064516129032258,141.0,0.7557285873192436
142,0.6725250278086763,142.0,0.6262513904338153
143,0.7437152391546161,143.0,0.7472747497219132
144,0.5835372636262514,144.0,0.7784204671857619
145,0.7201334816462737,145.0,0.7579532814238041
146,0.5265850945494994,146.0,0.6858731924360401
147,0.8905450500556173,147.0,0.5870967741935484
148,0.7571476295600436,148.0,0.7446051167964404
149,0.6720800889877642,149.0,0.6631813125695216
150,0.8380422691879867,150.0,0.8220244716351501
151,0.8278086763070076,151.0,0.6249165739710789
152,0.8171301446051168,152.0,0.875417130144605
153,0.8585094549499442,153.0,0.6373748609566184
154,0.821579532814238,154.0,0.7721913236929923
155,0.6347052280311457,155.0,0.8696329254727476
156,0.6560622914349278,156.0,0.6729699666295884
157,0.8006674082313682,157.0,0.7494994438264738
158,0.8335928809788653,158.0,0.614238042269188
159,0.7543937708565073,159.0,0.7317018909899888
160,0.6840934371523915,160.0,0.7686318131256953
161,0.5248053392658508,161.0,0.7174638487208009
162,0.7557285873192436,162.0,0.6525027808676307
163,0.7535038932146829,163.0,0.7508342602892103
164,0.7317018909899888,164.0,0.6258064516129032
165,0.8175750834260289,165.0,0.6293659621802001
166,0.839377085650723,166.0,0.8709677419354839
167,0.7503893214682981,167.0,0.7365962180200223
168,0.6858731924360401,168.0,0.7174638487208009
169,0.7410456062291434,169.0,0.7365962180200223
170,0.7561735261401556,170.0,0.8411568409343715
171,0.7299221357063403,171.0,0.7404605674921614
172,0.5875417130144606,172.0,0.6106785317018909
173,0.7499443826473859,173.0,0.6462736373748609
174,0.639154616240267,174.0,0.4794215795328142
175,0.7971078976640712,175.0,0.8820912124582869
176,0.7116796440489432,176.0,0.5132369299221357
177,0.6347052280311457,177.0,0.7882091212458288
178,0.48787541713014465,178.0,0.6542825361512792
179,0.8723025583982202,179.0,0.6596218020022246
180,0.6903225806451613,180.0,0.7508342602892103
181,0.6489432703003337,181.0,0.8038714033501139
182,0.6645161290322581,182.0,0.617797552836485
183,0.7085650723025584,183.0,0.5550611790878754
184,0.8709677419354839,184.0,0.7294771968854282
185,0.8780867630700778,185.0,0.47230255839822033
186,0.6271412680756396,186.0,0.4460511679644049
187,0.6992213570634038,187.0,0.7494994438264738
188,0.5617352614015573,188.0,0.7170189098998888
189,0.874972191323693,189.0,0.7833147942157953
190,0.4825361512791991,190.0,0.6031145717463848
191,0.8264738598442714,191.0,0.778865406006674
192,0.7864293659621803,192.0,0.5902113459399333
193,0.8825361512791992,193.0,0.403781979977753
194,0.6631813125695216,194.0,0.7481646273637375
195,0.6987764182424916,195.0,0.6395995550611792
196,0.7263626251390434,196.0,0.828698553948832
197,0.8327030033370411,197.0,0.47141268075639603
198,0.8905450500556173,198.0,0.5563959955506118
