gene:Sspon.01G0021440-1A gene:Sspon.01G0021400-2P
gene:Sspon.01G0021400-2P gene:Sspon.01G0021400-1P
gene:Sspon.01G0021470-1A gene:Sspon.01G0021390-1P
gene:Sspon.01G0021580-1A gene:Sspon.01G0021580-1P
gene:Sspon.01G0021590-1A gene:Sspon.01G0021590-1P
gene:Sspon.01G0021630-1P gene:Sspon.01G0021630-1A
gene:Sspon.01G0021650-1A gene:Sspon.01G0021680-1A
gene:Sspon.01G0021680-1A gene:Sspon.01G0021650-1P
gene:Sspon.01G0013210-1A gene:Sspon.01G0021740-1A
gene:Sspon.01G0021890-1A gene:Sspon.01G0021890-1P
gene:Sspon.01G0021930-1A gene:Sspon.01G0021930-1P
gene:Sspon.01G0022100-1A gene:Sspon.02G0012500-1P
gene:Sspon.01G0022110-1A gene:Sspon.01G0022120-1A
gene:Sspon.01G0022120-1A gene:Sspon.01G0022130-1A
gene:Sspon.01G0022120-1A gene:Sspon.01G0022140-1A
gene:Sspon.01G0022150-1A gene:Sspon.01G0022160-1A
gene:Sspon.01G0022150-1A gene:Sspon.01G0022190-1A
gene:Sspon.01G0022160-1A gene:Sspon.01G0022190-1A
gene:Sspon.01G0022230-1A gene:Sspon.01G0022240-1A
gene:Sspon.01G0022230-1A gene:Sspon.01G0022250-1A
gene:Sspon.01G0022240-1A gene:Sspon.01G0022250-1A
gene:Sspon.01G0022240-1A gene:Sspon.01G0022250-1T
gene:Sspon.01G0022250-1A gene:Sspon.01G0022250-1T
gene:Sspon.01G0022350-1A gene:Sspon.01G0022350-1P
gene:Sspon.01G0022360-1A gene:Sspon.01G0022370-1A
gene:Sspon.01G0022370-1A gene:Sspon.01G0022360-1P
gene:Sspon.01G0022420-1A gene:Sspon.01G0022470-1A
gene:Sspon.01G0022430-1A gene:Sspon.01G0022450-1A
gene:Sspon.01G0022440-1A gene:Sspon.01G0022470-1A
gene:Sspon.01G0022450-1A gene:Sspon.01G0022450-1P
gene:Sspon.01G0022540-1A gene:Sspon.01G0022550-1A
gene:Sspon.01G0022540-1A gene:Sspon.01G0022560-1A
gene:Sspon.01G0022550-1A gene:Sspon.01G0022560-1A
gene:Sspon.01G0022550-1A gene:Sspon.01G0022570-1A
gene:Sspon.01G0022560-1A gene:Sspon.01G0022570-1A
gene:Sspon.01G0022710-1A gene:Sspon.01G0022720-1A
gene:Sspon.01G0023140-1A gene:Sspon.01G0023130-1P
gene:Sspon.01G0023340-1A gene:Sspon.01G0023350-1A
gene:Sspon.01G0023420-1A gene:Sspon.01G0023430-1A
