Depth	Species	Cluster_length	Cluster_number
3	A. sativa.ot3098	7	27
3	A. sativa.ot3098	8	3
3	A. sativa.ot3098	9	10
3	A. sativa.ot3098	10	3
3	A. sativa.ot3098	11	1
3	A. sativa.ot3098	12	1
3	A. sativa.ot3098	13	1
3	A. sativa.ot3098	14	2
3	A. sativa.ot3098	15	0
3	A. sativa.ot3098	16	0
3	A. sativa.ot3098	17	0
3	A. sativa.ot3098	18	0
3	A. sativa.ot3098	19	0
3	A. sativa.ot3098	20	0
3	A. sativa.ot3098	21	0
3	A. sativa.ot3098	22	0
3	A. sativa.ot3098	23	1
3	A. sativa.ot3098	24	0
3	A. sativa.ot3098	25	0
3	A. sativa.ot3098	26	0
3	A. sativa.ot3098	27	0
3	A. sativa.ot3098	28	0
3	A. sativa.ot3098	29	0
3	A. sativa.ot3098	30	0
3	A. sativa.ot3098	31	0
3	A. sativa.ot3098	32	0
3	E. colona	2	3832
3	E. colona	3	1083
3	E. colona	4	421
3	E. colona	5	237
3	E. colona	6	98
3	E. colona	7	69
3	E. colona	8	25
3	E. colona	9	20
3	E. colona	10	9
3	E. colona	11	7
3	E. colona	12	3
3	E. colona	13	2
3	E. colona	14	1
3	E. colona	15	2
3	E. colona	16	2
3	E. colona	17	2
3	E. colona	18	1
3	E. colona	19	1
3	E. colona	20	0
3	E. colona	21	0
3	E. colona	22	0
3	E. colona	23	0
3	E. colona	24	0
3	E. colona	25	0
3	E. colona	26	0
3	E. colona	27	0
3	E. colona	28	0
3	E. colona	29	0
3	E. colona	30	1
3	E. colona	31	0
3	E. colona	32	0
1	L. perenne	20	1
1	L. perenne	21	0
1	L. perenne	22	0
1	L. perenne	23	0
1	L. perenne	24	0
1	L. perenne	25	0
1	L. perenne	26	0
1	L. perenne	27	0
1	L. perenne	28	0
1	L. perenne	29	0
1	L. perenne	30	0
1	L. perenne	31	0
1	L. perenne	32	0
2	M. lutarioriparius	2	3492
2	M. lutarioriparius	3	894
2	M. lutarioriparius	4	385
2	M. lutarioriparius	5	188
2	M. lutarioriparius	6	125
2	M. lutarioriparius	7	64
2	M. lutarioriparius	8	45
2	M. lutarioriparius	9	17
2	M. lutarioriparius	10	30
2	M. lutarioriparius	11	16
2	M. lutarioriparius	12	7
2	M. lutarioriparius	13	8
2	M. lutarioriparius	14	2
2	M. lutarioriparius	15	2
2	M. lutarioriparius	16	5
2	M. lutarioriparius	17	2
2	M. lutarioriparius	18	1
2	M. lutarioriparius	19	3
2	M. lutarioriparius	20	0
2	M. lutarioriparius	21	1
2	M. lutarioriparius	22	0
2	M. lutarioriparius	23	1
2	M. lutarioriparius	24	1
2	M. lutarioriparius	25	0
2	M. lutarioriparius	26	0
